price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Ave
4.5,2,0,0,0,7,3.5,1.556,DEF,West Ham,178,0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,GK,West Ham,0,0.02631578947368421
4.5,0,0,0,0,0,0.0,0.0,GK,West Ham,0,0.02631578947368421
5.0,0,0,0,0,1,1.0,0.2,FWD,West Ham,5,0.02631578947368421
4.5,2,0,1,1,13,6.5,2.889,DEF,West Ham,180,0.02631578947368421
6.4,2,0,0,0,5,2.5,0.7812,MID,West Ham,177,0.02631578947368421
4.9,0,0,0,0,0,0.0,0.0,MID,West Ham,0,0.02631578947368421
6.0,2,1,0,1,9,4.5,1.5,MID,West Ham,163,0.02631578947368421
4.5,2,0,0,0,9,4.5,2.0,DEF,West Ham,180,0.02631578947368421
4.4,0,0,0,0,0,0.0,0.0,DEF,West Ham,0,0.02631578947368421
5.0,2,1,1,2,13,6.5,2.6,MID,West Ham,167,0.02631578947368421
4.4,0,0,0,0,0,0.0,0.0,DEF,West Ham,0,0.02631578947368421
4.9,0,0,0,0,0,0.0,0.0,MID,West Ham,0,0.02631578947368421
5.9,0,0,0,0,1,1.0,0.1695,MID,West Ham,17,0.02631578947368421
5.0,2,0,0,0,5,2.5,1.0,MID,West Ham,174,0.02631578947368421
6.9,0,0,0,0,2,1.0,0.2899,FWD,West Ham,44,0.02631578947368421
4.5,0,0,0,0,2,1.0,0.4444,DEF,West Ham,7,0.02631578947368421
4.4,0,0,0,0,0,0.0,0.0,GK,Wolves,0,-0.07894736842105263
4.5,2,0,1,1,3,1.5,0.6667,DEF,Wolves,150,-0.07894736842105263
5.0,0,0,0,0,0,0.0,0.0,MID,Wolves,0,-0.07894736842105263
5.0,2,0,0,0,3,1.5,0.6,MID,Wolves,123,-0.07894736842105263
4.0,0,0,0,0,0,0.0,0.0,GK,Wolves,0,-0.07894736842105263
4.5,0,0,0,0,1,1.0,0.2222,MID,Wolves,6,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,MID,Wolves,0,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,FWD,Wolves,0,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,MID,Wolves,0,-0.07894736842105263
6.5,1,1,0,1,7,3.5,1.077,FWD,Wolves,100,-0.07894736842105263
4.5,0,0,0,0,2,1.0,0.4444,DEF,Wolves,29,-0.07894736842105263
4.5,2,0,0,0,0,0.0,0.0,DEF,Wolves,180,-0.07894736842105263
4.9,0,0,0,0,1,1.0,0.2041,MID,Wolves,1,-0.07894736842105263
5.0,0,0,0,0,0,0.0,0.0,FWD,Wolves,0,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,FWD,Wolves,0,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,MID,Wolves,0,-0.07894736842105263
5.4,0,0,0,0,0,0.0,0.0,MID,Wolves,0,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,DEF,Wolves,0,-0.07894736842105263
6.4,2,0,0,0,3,1.5,0.4688,MID,Wolves,148,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,MID,Wolves,0,-0.07894736842105263
4.0,0,0,0,0,0,0.0,0.0,DEF,Wolves,0,-0.07894736842105263
