name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,roi_per_gw,position
Areola,£4.5,West Ham,0,0,0,31,2700,116,3.7,25.78,0.8316129032258065,GK
Bowen,£7.5,West Ham,16,6,22,34,3020,182,5.4,24.27,0.7138235294117647,MID
Cornet,£5.0,West Ham,1,0,1,1,109,13,1.9,2.6,2.6,MID
Coufal,£4.5,West Ham,0,7,7,36,3135,85,2.4,18.89,0.5247222222222222,DEF
Cresswell,£4.0,West Ham,0,0,0,4,431,10,0.9,2.5,0.625,DEF
Earthy,£4.5,West Ham,1,0,1,0,33,8,2.7,1.778,0.0,MID
Emerson,£4.5,West Ham,1,4,5,35,3138,82,2.3,18.22,0.5205714285714286,DEF
Fabianski,£4.0,West Ham,0,0,0,7,721,24,2.4,6.0,0.8571428571428571,GK
Foderingham,£4.5,West Ham,0,0,0,29,2648,70,2.3,15.56,0.5365517241379311,GK
Ings,£5.0,West Ham,1,2,3,3,389,36,1.8,7.2,2.4,FWD
Kilman,£4.5,West Ham,2,0,2,38,3420,82,2.2,18.22,0.4794736842105263,DEF
Kudus,£6.5,West Ham,8,9,17,27,2485,137,4.2,21.08,0.7807407407407406,MID
L.Paquetá,£6.0,West Ham,4,6,10,31,2627,100,3.2,16.67,0.5377419354838711,MID
Mavropanos,£4.5,West Ham,1,0,1,16,1500,40,2.1,8.889,0.5555625,DEF
N.Aguerd,£4.5,West Ham,1,0,1,21,1857,36,1.7,8.0,0.38095238095238093,DEF
Souček,£5.0,West Ham,7,2,9,34,2867,116,3.1,23.2,0.6823529411764706,MID
Ward-Prowse,£6.5,West Ham,7,7,14,34,3000,146,3.9,22.46,0.6605882352941177,MID
Zouma,£4.5,West Ham,3,0,3,32,2838,76,2.3,16.89,0.5278125,DEF
Aït-Nouri,£4.5,Wolves,2,3,5,29,2327,77,2.3,17.11,0.59,DEF
B.Traore,£5.0,Wolves,0,0,0,7,802,25,1.0,5.0,0.7142857142857143,MID
Bellegarde,£5.0,Wolves,2,2,4,10,948,45,2.0,9.0,0.9,MID
Bentley,£4.0,Wolves,0,0,0,3,382,18,3.6,4.5,1.5,GK
Chirewa,£4.5,Wolves,0,0,0,1,138,8,1.0,1.778,1.778,MID
Chiwome,£4.5,Wolves,0,0,0,2,173,5,1.7,1.111,0.5555,FWD
Cunha,£6.5,Wolves,12,7,19,29,2438,135,4.2,20.77,0.7162068965517241,FWD
Dawson,£4.5,Wolves,1,1,2,25,2209,69,2.8,15.33,0.6132,DEF
Doherty,£4.5,Wolves,1,0,1,9,1136,41,1.4,9.111,1.0123333333333333,DEF
Doyle,£5.0,Wolves,0,0,0,11,1209,38,1.5,7.6,0.6909090909090909,MID
Fábio Silva,£5.0,Wolves,0,0,0,3,259,8,1.0,1.6,0.5333333333333333,FWD
Fraser,£4.5,Wolves,0,0,0,1,183,7,1.0,1.556,1.556,FWD
Gonzalez,£4.5,Wolves,0,0,0,0,1,1,1.0,0.2222,0.0,MID
H.Bueno,£4.5,Wolves,0,0,0,7,727,29,1.3,6.444,0.9205714285714286,DEF
Hee Chan,£6.5,Wolves,12,3,15,25,2116,125,4.3,19.23,0.7692,MID
J.Gomes,£5.0,Wolves,2,2,4,32,2646,75,2.2,15.0,0.46875,MID
José Sá,£4.5,Wolves,0,1,1,35,3037,107,3.1,23.78,0.6794285714285715,GK
Kalajdžić,£5.0,Wolves,2,0,2,1,158,24,2.2,4.8,4.8,FWD
Mario Jr.,£5.0,Wolves,4,1,5,34,2969,95,2.7,19.0,0.5588235294117647,MID
N.Semedo,£4.5,Wolves,0,2,2,36,3084,63,1.8,14.0,0.3888888888888889,DEF
S.Bueno,£4.5,Wolves,0,0,0,9,819,13,1.1,2.889,0.32099999999999995,DEF
Sarabia,£5.5,Wolves,4,7,11,20,1737,99,3.3,18.0,0.9,MID
Toti,£4.5,Wolves,1,4,5,31,2771,82,2.3,18.22,0.5877419354838709,DEF
