name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,position,FDR_Average
Robinson,4.5,Fulham,0,6,6,37,3266,104,2.8,23.11,DEF,-2.0701754385964906
Tete,4.5,Fulham,1,0,1,10,863,27,1.9,6.0,DEF,-2.0701754385964906
Vinicius,5.0,Fulham,2,0,2,2,306,22,1.7,4.4,FWD,-2.0701754385964906
Wilson,5.5,Fulham,4,7,11,16,1603,94,2.7,17.09,MID,-2.0701754385964906
Johnson,4.0,Ipswich,0,0,0,4,538,17,1.2,4.25,DEF,-12.947368421052635
Phillips,5.0,Ipswich,0,0,0,3,394,10,0.8,2.0,MID,-12.947368421052635
Muric,4.5,Ipswich,0,0,0,10,900,47,4.7,10.44,GK,-12.947368421052635
Buonanotte,5.0,Leicester,3,1,4,17,1356,57,2.1,11.4,MID,0.0
De Cordova-Reid,5.5,Leicester,6,3,9,17,1410,92,2.8,16.73,MID,0.0
Thomas,4.0,Leicester,0,0,0,11,916,7,0.6,1.75,DEF,0.0
A.Becker,5.5,Liverpool,0,0,0,28,2520,107,3.8,19.45,GK,10.210526315789474
Alexander-Arnold,7.0,Liverpool,3,5,8,25,2153,122,4.4,17.43,DEF,10.210526315789474
Bajcetic,4.5,Liverpool,0,0,0,0,25,1,1.0,0.2222,MID,10.210526315789474
Bradley,5.0,Liverpool,1,3,4,10,752,50,4.5,10.0,DEF,10.210526315789474
Clark,4.5,Liverpool,0,0,0,1,86,5,1.0,1.111,MID,10.210526315789474
Darwin,7.5,Liverpool,11,11,22,22,2033,132,3.7,17.6,FWD,10.210526315789474
Diogo J.,7.5,Liverpool,10,7,17,14,1141,110,5.2,14.67,MID,10.210526315789474
Doak,4.5,Liverpool,0,0,0,0,13,1,1.0,0.2222,MID,10.210526315789474
Elliott,5.5,Liverpool,3,9,12,11,1330,96,2.8,17.45,MID,10.210526315789474
Endo,5.0,Liverpool,1,0,1,20,1714,47,1.6,9.4,MID,10.210526315789474
Gakpo,7.5,Liverpool,8,5,13,17,1633,106,3.0,14.13,FWD,10.210526315789474
Gomez,5.0,Liverpool,0,2,2,17,1772,76,2.4,15.2,DEF,10.210526315789474
Gravenberch,5.0,Liverpool,1,0,1,12,1110,45,1.7,9.0,MID,10.210526315789474
Jones,5.5,Liverpool,1,1,2,14,1156,40,1.7,7.273,MID,10.210526315789474
Kelleher,4.5,Liverpool,0,0,0,10,900,34,3.4,7.556,GK,10.210526315789474
Konaté,5.0,Liverpool,0,0,0,17,1570,56,2.5,11.2,DEF,10.210526315789474
Luis Díaz,7.5,Liverpool,8,7,15,32,2625,142,3.8,18.93,MID,10.210526315789474
M.Salah,12.5,Liverpool,18,12,30,28,2531,211,6.6,16.88,MID,10.210526315789474
Mac Allister,6.5,Liverpool,5,5,10,31,2600,109,3.3,16.77,MID,10.210526315789474
McConnell,4.5,Liverpool,0,0,0,0,3,3,1.0,0.6667,MID,10.210526315789474
